date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:58:00	86936/86936	---M--	200	added ('OK')	text/html	etag:%22134553b-15398-56349be2dfa80%22	https://xincomblog.com/html5-templates/autorepair/home.html	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/home.html	(from )
23:58:00	205/205	---M--	200	added ('OK')	text/plain	etag:%221341185-cd-58730e2acc250%22	https://xincomblog.com/robots.txt		(from )
23:58:01	54027/54027	---M--	200	added ('OK')	text/css	etag:%221345538-d30b-564be2e6ccf40%22	https://xincomblog.com/html5-templates/autorepair/style.css	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/style.css	(from https://xincomblog.com/html5-templates/autorepair/home.html)
23:58:02	2573/2573	---M--	200	added ('OK')	image/png	etag:%221345522-a0d-5624d5c4b5d00%22	https://xincomblog.com/html5-templates/autorepair/assets/icon/favicon.png	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/assets/icon/favicon.png	(from https://xincomblog.com/html5-templates/autorepair/home.html)
23:58:03	3961/3961	---M--	200	added ('OK')	image/png	etag:%221345521-f79-5624d5d20fc80%22	https://xincomblog.com/html5-templates/autorepair/assets/icon/apple-touch-icon-158-precomposed.png	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/assets/icon/apple-touch-icon-158-precomposed.png	(from https://xincomblog.com/html5-templates/autorepair/home.html)
23:58:04	2522/2522	---M--	200	added ('OK')	image/png	etag:%221345405-9da-5623255beae80%22	https://xincomblog.com/html5-templates/autorepair/assets/img/logo.png	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/assets/img/logo.png	(from https://xincomblog.com/html5-templates/autorepair/home.html)
23:58:05	55278/55278	---M--	200	added ('OK')	text/html	etag:%221345534-d7ee-5631ba2136480%22	https://xincomblog.com/html5-templates/autorepair/page-team.html	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/page-team.html	(from https://xincomblog.com/html5-templates/autorepair/home.html)
23:58:06	40918/40918	---M--	200	added ('OK')	text/html	etag:%22134553d-9fd6-5631ba2abfb00%22	https://xincomblog.com/html5-templates/autorepair/page-work-galleries.html	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/page-work-galleries.html	(from https://xincomblog.com/html5-templates/autorepair/home.html)
23:58:07	37349/37349	---M--	200	added ('OK')	text/html	etag:%221345533-91e5-5631ba2506d80%22	https://xincomblog.com/html5-templates/autorepair/page-work-gallerie-detail.html	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/page-work-gallerie-detail.html	(from https://xincomblog.com/html5-templates/autorepair/home.html)
23:58:09	28624/28624	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Aug%202019%2016:58:10%20GMT	https://xincomblog.com/html5-templates/autorepair/3	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/3.8.delayed	(from https://xincomblog.com/html5-templates/autorepair/home.html)
23:58:11	34353/34353	---M--	200	added ('OK')	text/html	etag:%221345539-8631-5631ba1d65b80%22	https://xincomblog.com/html5-templates/autorepair/page-services.html	D:/New%20Volume/hoc%20tap/demo/xincomblog.com/html5-templates/autorepair/page-services.html	(from https://xincomblog.com/html5-templates/autorepair/home.html)
